843000,842999
441770,441745
580309,580309
820509,820517
472575,539351
58868,58876
595153,571378
234065,243249
841389,841156
72195,733187
263497,232264
928314,928336
447237,516773
665257,665280
114469,114441
473809,89801
438218,437779
753270,753238
733948,733927
121567,121574
206341,186739
605337,884991
282583,261840
412749,416530
338512,338517
923301,923165
888529,48513
858167,858188
560192,560193
218671,218657
859305,859310
123769,139917
92142,576089
413318,413053
802893,802840
153507,153491
636995,636706
502675,503453
505198,503554
70025,67607
763669,11155
170594,170607
212476,229186
532257,80539
732892,779885
233145,231965
631677,631662
766715,766671
75278,130563
277462,287970
161025,148786
737772,737787
589434,468527
164885,139384
328877,179606
293046,293039
307955,262378
513464,59885
862509,862518
463137,77893
779754,779490
376148,365472
5430,5432
939871,939859
840974,840957
170038,331205
905667,672666
480560,484042
927100,927278
109671,109658
237997,253224
392299,392302
941521,941547
26941,901198
398029,398049
185095,342245
345837,345855
563156,569249
275614,210914
823181,823216
16527,891179
396735,401013
122475,122494
610049,609569
746475,746488
809314,557041
308723,308707
804882,805032
802986,550571
921849,726572
40498,671252
645480,645488
307375,218327
428620,428598
147836,147836
880122,880115
83156,29039
332486,332470
805369,714270
276441,276453
